date,source,player_name,position,winnings,gender,episode_bankrupts,episode_lose_a_turns,url
2021-09-21,WordPress,Nicole,1,600,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Lionel,2,550,M,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Maria,3,600,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Maria,4,1400,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Lionel,5,700,M,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Maria,6,3800,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Lionel,7,3600,M,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Nicole,8,650,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Lionel,9,1950,M,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Maria,10,3800,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Nicole,11,9264,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Lionel,12,3600,M,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Nicole,13,1300,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Maria,14,3800,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Nicole,15,13264,F,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-21,WordPress,Lionel,16,7450,M,4.0,2.0,https://andynwof.wordpress.com/2021/09/21/wof-recap-september-21-2021/
2021-09-22,WordPress,Debbie,1,1700,F,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Julee,2,1,Unknown,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Debbie,3,600,F,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Julee,4,500,Unknown,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Hunter,5,1,M,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Ladies,6,2,Unknown,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Hunter,7,500,M,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Julee,8,1300,Unknown,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Hunter,9,700,M,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Hunter,10,12550,M,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Ladies,11,2,Unknown,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Hunter,12,14550,M,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
2021-09-22,WordPress,Debbie,13,2,F,2.0,0.0,https://andynwof.wordpress.com/2021/09/22/wof-recap-september-22-2021/
